new entry "E6_Shout_EpicFeats"
type "SpellData"
data "SpellType" "Shout"
data "Level" ""
data "SpellSchool" ""
data "SpellProperties" ""
data "AIFlags" "CanNotUse"
data "Icon" "E6_Logo"
data "DisplayName" "h1a5184cdgaba1g432fga0d3g51ac15b8a0a8;1"
data "Description" "h0e02f114g1575g4fc2g97eeg27d8017fc2ee;1"
data "CastTextEvent" "Cast"
data "Requirements" "!Combat"
data "Autocast" "Yes"
data "SpellFlags" "ImmediateCast;UnavailableInDialogs"
data "Requirements" ""
data "TargetConditions" ""
data "UseCosts" "FeatPoint:0"
